NutrientID,NutrientCode,NutrientSymbol,NutrientUnit,NutrientName,NutrientNameF,Tagname,NutrientDecimals
203,203,PROT,g,PROTEIN,PROTÉINES,PROCNT,2
204,204,FAT,g,"FAT, TOTAL (LIPIDS)","LIPIDES, TOTAL",FAT,2
205,205,CARB,g,"CARBOHYDRATE, TOTAL (BY DIFFERENCE)",GLUCIDES,CHOCDF,2
208,208,KCAL,kcal,ENERGY (KILOCALORIES),ÉNERGIE (KILOCALORIES),ENERC_KCAL,0
268,268,KJ,kJ,ENERGY (KILOJOULES),ÉNERGIE (KILOJOULES),ENERC_KJ,0
291,291,FIBTG,g,"FIBRE, TOTAL DIETARY",FIBRES,FIBTG,2
301,301,CA,mg,CALCIUM,CALCIUM,CA,0
303,303,FE,mg,IRON,FER,FE,2
317,317,SE,µg,SELENIUM,SÉLÉNIUM,SE,1
9999,9999,ZZZ,g,SOMETHING NEW,QUELQUE CHOSE,ZZZ,2
